,,,PC1,PC2,PC3
2004_12_04_USS_Foreign_Terrorism.txt,USS,Foreign,2.147439522,0.00510298,3.098827343
1999_06_17_FL_Foreign_Civil_Society.txt,FL,Foreign,-4.144880378,2.078153397,0.866359321
2004_09_22_USS_Health_Patient_Privacy.txt,USS,Health,1.664472234,-3.029900737,0.775539712
2006_09_06_USS_Foreign_Iraq.txt,USS,Foreign,2.131911794,-2.619186507,1.017271676
2012_09_27_SS_Health_Food.txt,SS,Health,-1.325093968,1.750708107,-0.680757388
2011_05_03_SS_Health_Global.txt,SS,Health,-3.081313917,3.556876156,1.092014477
1999_10_10_FL_Women_Democracy.txt,FL,Women,-0.791098717,0.22302719,-1.30088821
2009_04_30_SS_Health_H1N1.txt,SS,Health,2.419074776,1.960217894,1.740454995
2001_04_06_USS_Health_Hospitals.txt,USS,Health,0.192497869,1.079174887,1.679088416
2003_11_06_USS_Health_Food.txt,USS,Health,2.987940221,-0.288831577,0.61510564
2011_03_07_SS_Women_100 Women.txt,SS,Women,-3.443169694,-0.346640507,0.169487243
2013_02_01_SS_Foreign_Farewell.txt,SS,Foreign,-4.470881389,-1.701254292,0.466465425
2011_10_27_SS_Foreign_Libya.txt,SS,Foreign,2.5645487,3.470104961,-1.240595415
2004_09_14_USS_Foreign_Holocaust.txt,USS,Foreign,5.152736558,-0.476836833,0.231912576
1997_11_11_FL_Foreign_Civil_Society.txt,FL,Foreign,-0.759936383,-0.690510067,-0.497552422
1995_03_08_FL_Women_Inter_Women_Day.txt,FL,Women,2.506154389,4.479031724,-0.966537826
2003_02_27_USS_Foreign_Homeland_Sec.txt,USS,Foreign,-1.120992629,-3.295466434,1.142852348
2006_09_29_USS_Health_Nursing.txt,USS,Health,1.376411348,0.455581225,0.250329353
1998_05_07_FL_Women_Girls_Education.txt,FL,Women,-0.534031837,0.449378589,-0.668230251
2006_12_06_USS_Health_Fellowship.txt,USS,Health,2.593279443,2.363825717,-0.564339962
1998_11_22_FL_Foreign_Haiti.txt,FL,Foreign,-2.24401535,0.564854944,-0.396809391
2008_07_09_USS_Foreign_FISA.txt,USS,Foreign,2.399843969,-1.455703521,3.590219975
2001_04_25_USS_Health_Pollution.txt,USS,Health,0.385996059,0.938144286,0.263420937
1998_07_15_FL_Women_Women's_Rights_House.txt,FL,Women,-2.360950102,0.971591728,-2.848949142
1997_03_12_FL_Women_Inter_Woman's_Day.txt,FL,Women,-0.447181724,-0.485390173,0.337665928
2001_07_27_USS_Foreign_Israel.txt,USS,Foreign,4.739903049,0.538244319,-1.55518261
1997_11_14_FL_Foreign_Diversity.txt,FL,Foreign,-1.013672678,-0.976373746,-1.276876799
2009_11_30_SS_Health_AIDS.txt,SS,Health,0.260483402,1.861974895,1.098667959
2012_07_19_SS_Women_Gender Gap.txt,SS,Women,-0.208464732,0.041562683,1.036550834
1997_04_21_FL_Foreign_Africa.txt,FL,Foreign,0.676779347,1.495615026,0.466155571
