"","Comp.1","Comp.2","Comp.3"
"Academic_Language..Low.Frequency.",0.463938322756059,0.594924205900392,0.363621079076745
"Citation",0.051463713883916,-0.0248376095115619,-0.00338849073973076
"Contingency",-0.00671928365955825,0.0395482855730631,0.0105733479641102
"Descriptive",0.0907276119154772,0.103192501116784,0.148871524271049
"Directive",-0.00821958528948661,0.0100108457969732,0.0173619830033098
"Elaborative_Syntax",0.431943105539762,-0.355971972412145,-0.370841911720766
"Emotion_Positive",-0.0200539740310333,0.00201997847785537,-0.0445531213775951
"Emotion_Negative",0.123031849986075,-0.0394258861431308,0.0396175979373261
"Emotion_Surprise",-0.00034403592923196,-4.76498187315807e-05,0.00229643443006306
"Expository_Devices",0.0795005586271779,0.1195265352397,0.0946791672822506
"FirstPerson",-0.454355584116997,0.0871886447322398,-0.244879440043205
"Forceful",0.0121590694106214,0.00303008247615318,-0.0295142689145707
"Future",-0.0773390261820499,0.0132150424496522,-0.0817957765910873
"Inquiry",0.00814620053434884,0.0134285303191323,-0.00835535355247731
"Interactive",-0.46858758402508,0.219425501615971,0.169717222553834
"Metadiscourse",0.00243492341515892,-0.00579936350216338,-0.0138828720449035
"Narrative",0.0290783298950748,0.032776061490764,0.090413202104489
"Past",0.031096403502445,-0.00127953344320522,0.0134292233058604
"Persons",-0.0391577408462777,-0.616726019933972,0.708859270427393
"Privy",-0.00755856973514028,0.00142774403074843,0.00696327130724552
"Public",0.278879903699952,-0.0551135152076668,-0.120833884712894
"Reasoning",-0.122217511435231,0.0487295387800014,0.00492118528542896
"Relations_Positive",-0.0673249469254942,-0.174815078080428,-0.188699382884603
"Relations_Negative",-0.00969115170891165,-0.0273693294844148,-0.110441300459046
"Reporting",0.136651625821013,0.0124429223066047,-0.13130856724882
"Strategic",0.0514865094933341,0.0542158996091204,-0.0602449347100064
"Values_Positive",0.0884065842228888,-0.110666062757107,-0.0657184216887477
"Values_Negative",0.0569077646547435,-0.0305849916460657,-0.00675236108931217
