,X,Name,Comp.1,
1801,2016_04_15_PC_Vatican_BS.txt,Sanders,-5.448078939,
1671,2016_02_10_PC_N_Korea_Sen_BS.txt,Sanders,-5.321010553,
3,2007_01_10_PC_Foreign_Iraq.txt,08vsObama,-5.319202854,
1202,2015_06_09_PC_Youth_Jobs_URMs_Sen_BS.txt,Sanders,-4.387540991,
1522,2015_12_10_PC_Climate_Sen_BS.txt,Sanders,-4.041204638,
732,2008_03_27_PC_Domestic_Financial_BO.txt,Obama,-3.990966334,
1312,2015_07_30_PC_Veterans_Health_Sen_BS.txt,Sanders,-3.928749153,
1552,2016_01_05_PC_Wall_St_BS.txt,Sanders,-3.917119758,
1272,2015_07_15_PC_Incarc_Youth_Sen_BS.txt,Sanders,-3.914661144,
1252,2015_06_23_PC_Trade_Sen_BS.txt,Sanders,-3.897544907,
1810,2007_05_29_PC_health_Univ_Iowa_BO.txt,Obama,-3.849883822,
1681,2016_02_11_PC_PBS_Debate_Open_BS.txt,Sanders,-3.749671844,
1492,2015_11_19_PC_Socialism_ISIS_BS.txt,Sanders,-3.676151431,
10,2007_02_14_PC_Foreign_Iran.txt,08vsObama,-3.657993345,
610,2007_02_06_PC_Foreign_Press_Troops_BO.txt,Obama,-3.643224465,
85,2008_04_09_PC_Foreign_PA.txt,08vsObama,-3.61827918,
1811,2016_04_29_PC_Steelworkers_IN_BS.txt,Sanders,-3.582422057,
1262,2015_07_08_PC_Wealth_Dis_Sen_BS.txt,Sanders,-3.566791951,
1302,2015_07_25_PC_SCLC_LA_BS.txt,Sanders,-3.527733931,
410,2007_01_25_PC_Health_DC_BO.txt,Obama,-3.506722605,
19,2007_05_24_PC_Health_Costs.txt,08vsObama,-3.506305061,
1412,2015_09_29_PC_Pharma_Sen_BS.txt,Sanders,-3.484260359,
1572,2016_01_17_PC_Debate_SC_Open_BS.txt,Sanders,-3.433842128,
1432,2015_10_13_PC_CNN_Debate_NV_Open_BS.txt,Sanders,-3.418752407,
1332,2015_08_04_PC_Camp_Finan_Sen_BS.txt,Sanders,-3.380754255,
22,2007_06_27_PC_Foreign_Security.txt,08vsObama,-3.344888907,
122,2015_07_24_PC_Long_Term_Growth.txt,16vsSanders,-3.340640332,
9,2007_02_07_PC_Foreign_Iraq.txt,08vsObama,-3.335833493,
23,2007_07_10_PC_Foreign_Iraq.txt,08vsObama,-3.216245455,
33,2007_10_04_PC_Domestic_Science.txt,08vsObama,-3.186448502,
1362,2015_08_18_PC_AFL_CIO_NV_BS.txt,Sanders,-3.135440545,
1282,2015_07_15_PC_Youth_Jobs_Sen_BS.txt,Sanders,-3.126862865,
101,2015_01_15_PC_Liberia.txt,16vsSanders,-3.087822336,
1871,2016_06_16_PC_Cont_Camp_BS.txt,Sanders,-3.071147792,
831,2016_08_08_GE_Economic_Detroit_DT.txt,Trump,-3.063808833,
1022,2008_06_02_PC_Stump_MI_Schools_BO.txt,Obama,-3.049420553,
79,2008_03_17_PC_Foreign_Overview.txt,08vsObama,-3.017196156,
87,2008_04_15_PC_Stump_Newspaper.txt,08vsObama,-3.006095161,
78,2008_03_11_PC_Stump_PA.txt,08vsObama,-2.934602542,
1301,2016_10_13_GE_Millenials_OH_DT.txt,Trump,-2.912082331,
722,2008_03_20_PC_Foreign_Costs_War_BO.txt,Obama,-2.885831948,
1232,2015_06_19_PC_NALEO_Imm_BS.txt,Sanders,-2.880815957,
1452,2015_10_29_PC_Marijuana_Sen_BS.txt,Sanders,-2.868027478,
981,2016_08_24_GE_Tampa_FL_DT.txt,Trump,-2.847536057,
1001,2016_08_27_GE_Joni_Earnst_Roast_IA_DT.txt,Trump,-2.812480811,
1610,2007_05_07_PC_Domestic_Econ_Detroit_BO.txt,Obama,-2.812423875,
1071,2016_09_06_GE_Stump_Greenville_NC_DT.txt,Trump,-2.80736838,
1462,2015_11_09_PC_Immigration_NV_BS.txt,Sanders,-2.786752691,
1310,2007_04_23_PC_Foreign_Chicago_Global_BO.txt,Obama,-2.783910503,
276,2007_08_01_PC_Foreign_Wilson_Center_BO.txt,Obama,-2.746013655,
712,2008_03_19_PC_Foreign_Post_Iraq_BO.txt,Obama,-2.736641026,
941,2016_08_20_GE_Party_Lincoln_VA_DT.txt,Trump,-2.716324824,
44,2007_11_12_PC_Domestic_Native Am.txt,08vsObama,-2.699607181,
81,2008_03_24_PC_Domestic_Housing.txt,08vsObama,-2.633266593,
1192,2015_05_26_PC_Burling_VT_BS.txt,Sanders,-2.622223453,
1152,2015_05_05_PC_Budget_Sen_BS.txt,Sanders,-2.590296139,
141,2015_11_19_PC_CFR.txt,16vsSanders,-2.589306013,
1222,2015_06_15_PC_Senior_Hunger_Sen_BS.txt,Sanders,-2.576206158,
1831,2016_05_05_PC_Poverty_WV_BS.txt,Sanders,-2.548699061,
1821,2016_05_01_PC_Camp_Update_NPC_BS.txt,Sanders,-2.498582026,
1402,2015_09_19_PC_Dem_Party_Conf_NH_BS.txt,Sanders,-2.492365138,
1372,2015_08_28_PC_DNC_MN_BS.txt,Sanders,-2.465556359,
331,2007_09_18_PC_Domestic_Taxes_BO.txt,Obama,-2.43739052,
1891,2016_07_12_PC_Endorse_HC_BS.txt,Sanders,-2.417793144,
1382,2015_09_09_PC_Iran_Nuc_Deal_Sen_BS.txt,Sanders,-2.401261228,
2210,2007_06_22_PC_Domestic_Govt_Ethics_BO.txt,Obama,-2.39830388,
50,2007_12_05_PC_Domestic_Economic.txt,08vsObama,-2.366357954,
176,2016_03_09_PC_Univision_Debate_Open.txt,16vsSanders,-2.351745098,
911,2016_08_16_GE_Inner_Cities_DT.txt,Trump,-2.351638216,
982,2008_05_23_PC_Domestic_Cuba_BO.txt,Obama,-2.32811195,
41,2007_11_05_PC_Domestic_Energy_Climate.txt,08vsObama,-2.306645645,
810,2007_03_02_PC_Foreign_AIPAC_BO.txt,Obama,-2.300973712,
311,2007_09_12_PC_Foreign_Iraq_BO.txt,Obama,-2.296254864,
812,2008_04_15_PC_Foreign_Military_BO.txt,Obama,-2.28353575,
762,2008_04_10_PC_Domestic_Econ_IN_BO.txt,Obama,-2.242506446,
1292,2015_07_21_PC_Seniors_Sen_BS.txt,Sanders,-2.209663751,
60,2008_01_22_PC_Domestic_Economic.txt,08vsObama,-2.208936791,
631,2008_02_13_PC_Domestic_Janesville_WI_BO.txt,Obama,-2.201938587,
1162,2015_05_12_PC_Trade_Sen_BS.txt,Sanders,-2.196374565,
1182,2015_05_22_PC_TTP_College_Pat_Act_Sen_BS.txt,Sanders,-2.188159274,
13,2007_03_10_PC_Domestic_General.txt,08vsObama,-2.18499981,
188,2016_04_13_PC_Environ.txt,16vsSanders,-2.184271269,
45,2007_11_19_PC_Domestic_Economic.txt,08vsObama,-2.18185577,
1472,2015_11_14_PC_CBS_Debate_IA_Close_BS.txt,Sanders,-2.163448404,
34,2007_10_08_PC_Domestic_Economy.txt,08vsObama,-2.152768048,
922,2008_05_14_PC_Domestic_Economy_MI_BO.txt,Obama,-2.14065032,
16,2007_04_13_PC_Domestic_Govt Reform.txt,08vsObama,-2.137189839,
1242,2015_06_22_PC_Charleston_Sen_BS.txt,Sanders,-2.110988269,
971,2016_08_24_GE_Immigration_MS_DT.txt,Trump,-2.101140418,
1172,2015_05_14_PC_Free_Trade_Sen_BS.txt,Sanders,-2.077907897,
1761,2016_03_09_PC_Univision_Deb_Open_BS.txt,Sanders,-2.05312143,
147,2015_12_05_PC_ISIS_Brookings.txt,16vsSanders,-2.033511188,
701,2016_06_28_GE_Jobs_PA_DT.txt,Trump,-2.029723272,
1012,2008_05_27_PC_Domestic_Econ_LV_BO.txt,Obama,-2.020876696,
772,2008_04_11_PC_Domestic_Econ_IN_BO.txt,Obama,-2.016356055,
21,2007_05_31_PC_Domestic_Innovation.txt,08vsObama,-2.009899072,
30,2007_08_23_PC_Health_Reform.txt,08vsObama,-1.998852743,
901,2016_08_15_GE_Foreign_Policy_OH_DT.txt,Trump,-1.985034207,
692,2008_03_12_PC_Foreign_Generals_BO.txt,Obama,-1.984842463,
1510,2007_05_05_PC_Stump_Black_Mayors_BO.txt,Obama,-1.963272739,
1721,2016_03_06_PC_CNN_Debate_MI_Close_BS.txt,Sanders,-1.953372975,
931,2016_08_19_GE_Af_Ams_MI_DT.txt,Trump,-1.95237583,
1052,2008_06_05_PC_Domestic_Econ_VA_BO.txt,Obama,-1.948586044,
90,2008_05_03_PC_Domestic_Economy.txt,08vsObama,-1.937591308,
461,2007_12_18_PC_Foreign_Policy_Forum_BO.txt,Obama,-1.932072571,
2510,2007_07_18_PC_Domestic_Urban_Am_BO.txt,Obama,-1.928554841,
1751,2016_03_09_PC_Univision_Deb_Close_BS.txt,Sanders,-1.91833352,
1112,2015_02_09_PC_Brookings_Econ_BS.txt,Sanders,-1.907326435,
321,2007_09_17_PC_Domestic_Prosperity_BO.txt,Obama,-1.904324361,
20,2007_05_29_PC_Domestic_Economy.txt,08vsObama,-1.890287832,
852,2008_04_25_PC_Domestic_Energy_BO.txt,Obama,-1.868729956,
149,2015_12_15_PC_Homeland_Security.txt,16vsSanders,-1.833573141,
136,2015_10_22_PC_Benghazi_Hearing.txt,16vsSanders,-1.816133162,
601,2008_02_07_PC_Domestic_Katrina_BO.txt,Obama,-1.814656366,
1142,2015_05_05_PC_Budget2_Sen_BS.txt,Sanders,-1.793578588,
1212,2015_06_11_PC_Family_Leave_Sen_BS.txt,Sanders,-1.784595579,
1032,2008_06_03_PC_Stump_Victory_BO.txt,Obama,-1.76858338,
74,2008_02_25_PC_Foreign_GW.txt,08vsObama,-1.767918643,
179,2016_03_23_PC_Count_Terror_Stanford.txt,16vsSanders,-1.767883172,
150,2015_12_19_PC_Opening_State_Dem_Debate.txt,16vsSanders,-1.760707278,
107,2015_04_29_PC_Criminal_Justice.txt,16vsSanders,-1.752353643,
1042,2008_06_04_PC_Foreign_Israel_BO.txt,Obama,-1.750109956,
12,2007_03_06_PC_Women_Rights_History.txt,08vsObama,-1.743424879,
1851,2016_06_09_PC_Post_Obama_Meet_BS.txt,Sanders,-1.727583985,
1562,2016_01_17_PC_Debate_SC_Close_BS.txt,Sanders,-1.713947364,
702,2008_03_18_Domestic_Perfect_Union_BO.txt,Obama,-1.698630468,
1771,2016_03_21_PC_Mid_East_BS.txt,Sanders,-1.688095208,
120,2015_07_13_PC_Economic_Policy.txt,16vsSanders,-1.67591357,
1731,2016_03_06_PC_CNN_Debate_MI_Open_BS.txt,Sanders,-1.66567955,
1342,2015_08_10_PC_Nurses_CA_BS.txt,Sanders,-1.66414023,
180,2016_03_28_PC_Sup_CT_WI.txt,16vsSanders,-1.645657954,
672,2008_02_24_PC_Domestic_NAFTA_BO.txt,Obama,-1.636423817,
103,2015_03_10_PC_Women_Iran.txt,16vsSanders,-1.60031595,
2010,2007_06_15_PC_Domestic_Economic_SC_BO.txt,Obama,-1.570094777,
912,2008_05_13_PC_Stump_MO_BO.txt,Obama,-1.562857123,
1641,2016_02_04_PC_MSNBC_Debate_NH_Close_BS.txt,Sanders,-1.540754789,
32,2007_09_17_PC_Health_Insurance.txt,08vsObama,-1.51912641,
431,2007_11_20_PC_Domestic_Kids_Future_BO.txt,Obama,-1.515186693,
481,2008_01_03_PC_Stump_Iowa_Victory_BO.txt,Obama,-1.513725103,
742,2008_04_02_PC_Domestic_AFL-CIO_BO.txt,Obama,-1.505695386,
178,2016_03_21_PC_AIPAC.txt,16vsSanders,-1.50029682,
902,2008_05_12_PC_Foreign_Veterans_BO.txt,Obama,-1.496495645,
27,2007_08_08_PC_Domestic_Infrastructure.txt,08vsObama,-1.478515423,
1512,2015_12_01_PC_Health_Care_Sen_BS.txt,Sanders,-1.469892617,
341,2007_09_28_PC_Domestic_Race_BO.txt,Obama,-1.445150418,
551,2008_01_28_PC_Stump_State_Union_BO.txt,Obama,-1.385002748,
291,2007_08_21_PC_Foreign_KC_BO.txt,Obama,-1.381986635,
1910,2007_06_05_PC_Domestic_Hampton_BO.txt,Obama,-1.379426336,
782,2008_04_14_PC_Domestic_AP_Econ_BO.txt,Obama,-1.376159463,
361,2007_10_08_PC_Domestic_Energy_BO.txt,Obama,-1.362293593,
1502,2015_11_29_PC_Jeff_Jack_NH_BS.txt,Sanders,-1.352035572,
66,2008_01_31_PC_Stump_Opening_Debate_CA.txt,08vsObama,-1.319197607,
48,2007_11_29_PC_Health_AIDS.txt,08vsObama,-1.306120453,
942,2008_05_18_PC_Domestic_Retirement_BO.txt,Obama,-1.275922815,
972,2008_05_21_PC_Stump_Des Moines_BO.txt,Obama,-1.236292093,
1442,2015_10_24_PC_Jeff_Jack_IA_BS.txt,Sanders,-1.173452782,
892,2008_05_09_PC_Domestic_Economy_OR_BO.txt,Obama,-1.146115171,
