,X,Time,Comp.1
3,2007_01_10_PC_Foreign_Iraq.txt,08vsObama,-6.068657741
19,2007_05_24_PC_Health_Costs.txt,08vsObama,-4.813783258
22,2007_06_27_PC_Foreign_Security.txt,08vsObama,-4.637371476
10,2007_02_14_PC_Foreign_Iran.txt,08vsObama,-4.590172276
122,2015_07_24_PC_Long_Term_Growth.txt,16vsSanders,-4.48567458
85,2008_04_09_PC_Foreign_PA.txt,08vsObama,-4.472518085
9,2007_02_07_PC_Foreign_Iraq.txt,08vsObama,-4.132390602
33,2007_10_04_PC_Domestic_Science.txt,08vsObama,-4.093357953
23,2007_07_10_PC_Foreign_Iraq.txt,08vsObama,-3.841433949
79,2008_03_17_PC_Foreign_Overview.txt,08vsObama,-3.757131358
87,2008_04_15_PC_Stump_Newspaper.txt,08vsObama,-3.720303922
101,2015_01_15_PC_Liberia.txt,16vsSanders,-3.618486041
81,2008_03_24_PC_Domestic_Housing.txt,08vsObama,-3.540412926
141,2015_11_19_PC_CFR.txt,16vsSanders,-3.518821337
50,2007_12_05_PC_Domestic_Economic.txt,08vsObama,-3.33619573
60,2008_01_22_PC_Domestic_Economic.txt,08vsObama,-3.226373214
44,2007_11_12_PC_Domestic_Native Am.txt,08vsObama,-3.147193968
90,2008_05_03_PC_Domestic_Economy.txt,08vsObama,-3.076131604
45,2007_11_19_PC_Domestic_Economic.txt,08vsObama,-3.034252292
136,2015_10_22_PC_Benghazi_Hearing.txt,16vsSanders,-2.996543363
188,2016_04_13_PC_Environ.txt,16vsSanders,-2.98781507
107,2015_04_29_PC_Criminal_Justice.txt,16vsSanders,-2.944382317
21,2007_05_31_PC_Domestic_Innovation.txt,08vsObama,-2.942047293
41,2007_11_05_PC_Domestic_Energy_Climate.txt,08vsObama,-2.864427054
16,2007_04_13_PC_Domestic_Govt Reform.txt,08vsObama,-2.77663186
147,2015_12_05_PC_ISIS_Brookings.txt,16vsSanders,-2.758814807
74,2008_02_25_PC_Foreign_GW.txt,08vsObama,-2.754438291
30,2007_08_23_PC_Health_Reform.txt,08vsObama,-2.674532402
78,2008_03_11_PC_Stump_PA.txt,08vsObama,-2.657711475
149,2015_12_15_PC_Homeland_Security.txt,16vsSanders,-2.655774478
179,2016_03_23_PC_Count_Terror_Stanford.txt,16vsSanders,-2.642024837
34,2007_10_08_PC_Domestic_Economy.txt,08vsObama,-2.629518283
20,2007_05_29_PC_Domestic_Economy.txt,08vsObama,-2.474570188
103,2015_03_10_PC_Women_Iran.txt,16vsSanders,-2.429667435
66,2008_01_31_PC_Stump_Opening_Debate_CA.txt,08vsObama,-2.400641163
48,2007_11_29_PC_Health_AIDS.txt,08vsObama,-2.354308023
27,2007_08_08_PC_Domestic_Infrastructure.txt,08vsObama,-2.32858802
176,2016_03_09_PC_Univision_Debate_Open.txt,16vsSanders,-2.289210888
13,2007_03_10_PC_Domestic_General.txt,08vsObama,-2.207379913
12,2007_03_06_PC_Women_Rights_History.txt,08vsObama,-2.131827336
117,2015_06_20_PC_Conf_Mayors.txt,16vsSanders,-2.099677086
180,2016_03_28_PC_Sup_CT_WI.txt,16vsSanders,-2.095009761
178,2016_03_21_PC_AIPAC.txt,16vsSanders,-2.070459313
120,2015_07_13_PC_Economic_Policy.txt,16vsSanders,-2.045048405
24,2007_07_24_PC_Domestic_Green Energy.txt,08vsObama,-1.863735147
113,2015_06_04_PC_Voting_Rights.txt,16vsSanders,-1.833099767
32,2007_09_17_PC_Health_Insurance.txt,08vsObama,-1.816936765
209,2016_06_13_PC_Orlando.txt,16vsSanders,-1.770117535
49,2007_12_03_PC_Stump_Cedar_Lake_IA.txt,08vsObama,-1.769996133
150,2015_12_19_PC_Opening_State_Dem_Debate.txt,16vsSanders,-1.733788939
31,2007_09_15_PC_Domestic_Civil Rights.txt,08vsObama,-1.700187914
2,2006_06_23_PC_Domestic_New_Dem.txt,08vsObama,-1.69491673
98,2008_06_04_PC_Foreign_Israel.txt,08vsObama,-1.673890422
110,2015_05_19_PC_Cedar_Falls_IA.txt,16vsSanders,-1.660907918
166,2016_02_16_PC_Harlem_NY.txt,16vsSanders,-1.494242875
