"","Comp.1","Comp.2","Comp.3"
"Academic_Language..Low.Frequency.",0.701246989849869,0.324700249219204,0.530527666721897
"Citation",0.0174522951640502,0.00233000305490769,-0.00822074386309346
"Contingency",-0.000838474511497523,-0.0628146757368762,0.0632135133570531
"Descriptive",-0.070887462566324,-0.11013514827006,0.0446295903907905
"Directive",0.0161454427645882,-0.0391717009761868,0.0531263823732296
"Elaborative_Syntax",0.222674803800849,0.247548649153373,-0.543341457500119
"Emotion_Positive",-0.0424862595651457,0.0163444923003762,0.0258900806031275
"Emotion_Negative",0.0701888149276022,0.0400640647476771,-0.0717947732404844
"Emotion_Surprise",-0.000788324571936446,-0.00108739240092434,0.00197551630311937
"Expository_Devices",0.104583061137603,-0.0207457269670825,0.0953539157167543
"FirstPerson",-0.101985748712162,-0.231134230564031,0.0381182642038225
"Forceful",-0.022225720366167,-0.154967231375783,0.0886393970656893
"Future",0.00974795202281534,-0.0266628332604043,-0.026485256346383
"Inquiry",0.00726361815576872,-0.017187123835849,0.0293996184907603
"Interactive",-0.12013126267251,-0.184808172430054,0.129275572275356
"Metadiscourse",-0.011666984382161,-0.0434314875371828,0.0212966294250418
"Narrative",-0.0339721736937034,0.0483512218969611,0.0176252520214706
"Past",-0.0556845382045236,-0.0287071557501343,0.0548603668875384
"Persons",-0.541895011479241,0.758525380046747,0.178312937661076
"Privy",-0.0438028981224321,-0.0585099055211372,0.0674854382867515
"Public",0.284571328092539,0.0975013859193115,-0.294833833633604
"Reasoning",-0.0757688367236789,-0.0805670629069498,0.0585949010501669
"Relations_Positive",-0.054365633415047,-0.0772673522262751,-0.152629854496284
"Relations_Negative",0.00386537891588656,-0.0150786670728041,-0.0526109637843935
"Reporting",0.0467739286681108,0.0193963987494587,-0.374152285445442
"Strategic",0.056742527549885,-0.0511486797147964,-0.0542063742696678
"Values_Positive",0.0963718953564912,0.29671189839829,-0.269013756751072
"Values_Negative",0.07474061154654,0.0609435222202898,-0.00944904533024869
