,X,Academic_Language..Low.Frequency.,Citation,Contingency,Descriptive,Directive,Elaborative_Syntax,Emotion_Positive,Emotion_Negative,Emotion_Surprise,Expository_Devices,FirstPerson,Forceful,Future,Inquiry,Interactive,Metadiscourse,Narrative,Past,Persons,Privy,Public,Reasoning,Relations_Positive,Relations_Negative,Reporting,Strategic,Values_Positive,Values_Negative,Name,Type
1,2001_07_27_USS_Foreign_Israel.txt,4.05,0.9,0,2.25,0.68,14.41,0,1.58,0,1.35,1.58,2.25,1.13,0,0.23,0.23,5.41,1.35,4.5,0,4.5,0.23,1.35,2.25,7.21,0.23,2.93,2.93,458,Governing
2,2001_09_12_USS_Foreign_911.txt,3.22,0.31,0.55,4.86,1.25,11.22,0.47,1.8,0.08,2.12,2.59,3.29,1.33,0.16,0.63,0.78,2.98,1.41,3.45,0.63,1.18,0.63,5.41,0.63,7.37,1.1,2.04,0.24,458,Governing
3,2001_09_21_USS_Foreign_Air_Safety.txt,4.65,0.65,0.26,3.88,0.52,11.63,0.26,1.42,0,1.55,2.97,3.49,0.65,0.26,0,0.13,2.2,1.03,2.97,1.16,3.62,0.39,5.68,1.16,5.81,1.94,2.84,0.39,458,Governing
4,2001_12_06_USS_Foreign_911.txt,3.73,0,0.15,6.56,0.45,11.92,0.15,0.75,0,1.94,2.83,2.98,1.34,0.3,0.75,0.15,5.22,2.83,1.79,0.45,0.75,0.3,3.13,1.34,8.94,1.19,0.89,0,458,Governing
5,2001_12_06_USS_Foreign_Defense.txt,2.83,0,0.57,4.53,0.28,13.31,0,2.27,0,1.7,1.42,1.98,0.28,0.85,0.57,0.57,2.27,0.85,4.53,0.57,3.4,0.57,6.23,1.7,9.92,0.28,1.7,0.28,458,Governing
6,2002_02_06_USS_Foreign_Olympics_Flag.txt,3.72,0.56,0.45,7.34,0.56,13.66,0.56,2.37,0,1.92,2.03,2.48,0.79,0.23,0.34,0.56,2.93,0.9,2.6,1.47,1.92,0.11,2.82,1.13,5.53,1.81,3.27,0.34,458,Governing
7,2002_02_23_USS_Foreign_Israel.txt,4.13,0.53,1.18,3.86,0.81,13.14,0.47,2.1,0,1.87,2.89,3.34,0.97,0.26,0.89,0.71,2.97,0.97,3.55,1.39,1.71,0.79,2.97,0.84,7.31,1.31,1.58,0.47,458,Governing
8,2002_04_16_USS_Foreign_Border_Security.txt,8.24,0.31,1.32,4.53,1.26,14.09,0.44,1.32,0,1.51,1.38,3.46,0.44,0.5,0.44,0.38,2.7,0.57,2.77,0.88,3.08,0.31,1.82,0.5,7.36,2.39,2.64,0.19,458,Governing
9,2002_05_16_USS_Foreign_911_Investigation.txt,4.24,0.24,0.96,3.68,0.96,14.65,0.32,1.92,0.08,2.24,2,2.48,0.96,0.96,0.32,0.48,3.2,1.04,4.16,1.36,3.44,0.48,1.84,1.68,6.49,1.84,1.04,0,458,Governing
10,2002_05_23_USS_Foreign_Bio_Terrorism.txt,6.24,0.09,1.23,4.64,0.57,13.91,0.09,1.51,0.09,3.6,2.46,1.99,1.42,0.19,0.09,0.57,1.99,1.61,2.74,0.47,3.12,0.57,4.82,0.57,7.19,1.7,3.03,1.23,458,Governing
11,2002_10_10_USS_Foreign_Iraq.txt,3.51,0.5,1.57,3.44,0.89,13.42,0.39,1.93,0,1.54,1.43,2.97,0.89,0.11,0.5,0.57,2.93,0.79,3.29,1.15,2.43,0.79,2.9,2,9.02,2.08,3.04,0.47,458,Governing
12,2002_10_17_USS_Foreign_Bali.txt,3.15,0.35,0.53,3.33,0.18,15.94,0.35,6.48,0,1.93,0.18,2.63,1.58,0.53,0.18,0.18,4.03,1.58,4.38,2.1,0.88,0,3.85,1.23,7.88,0.7,2.28,0.35,458,Governing
13,2003_02_27_USS_Foreign_Homeland_Sec.txt,4.04,0.32,1.51,3.85,1.23,10.75,0.32,0.98,0,1.83,2.59,3.37,0.79,0.57,1.29,0.44,2.71,0.95,3.12,1.95,1.92,0.5,2.59,1.51,7.38,2.21,1.95,0.35,458,Governing
14,2003_03_21_USS_Foreign_Homeland_Sec.txt,5.49,0,0,1.83,0.61,14.02,0,0,0,9.76,1.22,4.88,1.83,1.22,0,0.61,1.83,0,3.05,0.61,5.49,0,4.27,0,7.32,3.66,1.83,0,458,Governing
15,2003_07_22_USS_Foreign_Homeland_Sec.txt,6.17,0.33,1.23,3.62,0.75,12.1,0.12,1.77,0.03,4.58,2.25,3.54,0.69,0.33,0.87,0.63,2.19,0.78,2.79,1.05,3.12,0.6,3.59,0.81,7.82,2.1,2.1,0.45,458,Governing
16,2003_10_16_USS_Foreign_War_Expenses.txt,8.02,0.53,1.07,3.03,0.89,13.01,0.36,1.96,0,3.74,0.36,2.5,1.07,0.18,0,0.36,3.03,0.89,5.53,0.71,5.35,0.36,2.32,0.53,11.05,0.53,2.14,0.53,458,Governing
17,2003_10_17_USS_Foreign_Intelligence.txt,4.78,0.48,1.91,2.39,0.96,13.4,0.96,0.96,0,0,4.31,3.35,0.96,0.48,0,0.48,1.91,0.96,2.87,3.35,1.91,0,3.35,0.96,2.87,0.96,1.91,0,458,Governing
18,2003_10_17_USS_Foreign_Iraq.txt,4,0.35,1.14,2.61,1.22,12.67,0.63,2.23,0.03,2.23,2.5,3.02,1.06,0.35,1.14,0.82,2.94,1.25,2.83,1.49,2.8,0.41,3.02,1.79,7.07,1.39,1.58,0.68,458,Governing
19,2003_10_17_USS_Foreign_Malaysia.txt,4.13,0.83,0.83,2.48,0,15.7,0,0,0,0.83,4.13,1.65,0,0,0,0,4.96,0.83,1.65,0,8.26,0.83,4.96,2.48,9.09,0,4.13,0.83,458,Governing
20,2003_11_21_USS_Foreign_Bomb_Scans.txt,8.35,0.81,0.41,8.35,1.02,10.18,0,2.44,0,4.28,0.41,3.46,1.02,0.2,0.41,1.02,4.89,0.41,1.83,0.81,1.63,0.61,3.05,1.22,5.5,0.61,3.67,0.41,458,Governing
21,2003_12_15_USS_Foreign_CFR.txt,3.94,0.44,0.99,4.34,0.86,13.5,0.5,1.35,0.02,1.91,2.06,2.68,0.92,0.3,0.48,0.9,2.5,1.67,3.58,1.14,2.1,1.02,3.7,1.16,7.65,1.73,2.13,0.32,458,Governing
22,2004_07_08_USS_Foreign_Homeland_Sec2.txt,3.44,0.34,1.2,3.27,0.86,10.33,0,1.89,0,0.86,2.24,4.48,0.52,0.17,2.07,0.52,2.24,0.69,3.44,2.24,2.24,0.34,3.61,1.38,4.65,2.93,1.55,0.34,458,Governing
23,2004_07_08_USS_Foreign_Homeland_Security.txt,4.27,0.36,0.84,3.83,0.92,12.05,0.32,1.92,0,1.28,2.35,2.91,0.88,0.48,0.92,0.56,2.71,0.76,3.03,1.68,2.19,0.52,3.67,1.08,7.62,2.23,2.55,0.28,458,Governing
24,2004_07_21_USS_Foreign_Peace_Contest.txt,5.18,0.91,0.3,3.05,0.61,13.41,1.22,0.3,0,1.52,2.13,1.83,0.61,0.3,0.3,0,1.83,0.61,5.49,1.22,3.96,0,4.27,0.3,6.4,1.83,5.18,0.3,458,Governing
25,2004_07_22_USS_Foreign_911_Comm.txt,3.45,0.62,0.44,3.45,1.86,12.21,0.71,1.5,0,1.86,1.77,2.92,1.59,0.71,0.97,1.06,3.01,0.53,2.39,1.33,4.16,0.53,2.92,0.8,6.81,2.39,3.1,0.18,458,Governing
26,2004_07_22_USS_Foreign_Military_Bases.txt,9.57,0.8,0,3.72,0.8,11.7,0,1.86,0,1.06,2.66,1.86,1.06,0.8,0.27,0.27,4.52,0.27,5.85,0.53,2.93,0,2.13,0.53,6.65,0.8,3.72,0.27,458,Governing
27,2004_07_26_USS_Foreign_DNC_Kerry.txt,3.79,0.08,0.76,2.53,1.1,10.12,0.76,1.69,0,1.94,1.94,3.54,1.35,0.34,0.93,0.51,3.29,0.42,7.84,0.42,1.85,1.85,4.64,0.59,6.58,1.26,3.2,0.17,458,Governing
28,2004_09_14_USS_Foreign_Holocaust.txt,3.09,1.85,0,4.63,0.31,14.51,0.31,3.4,0,3.4,0.62,1.54,0.62,0,0.31,0.62,3.4,1.23,4.01,1.23,8.02,0,1.54,0.62,5.25,1.85,2.47,0.93,458,Governing
29,2004_09_14_USS_Foreign_Safer_Act.txt,9.04,0.44,0.52,3.11,0.96,13.64,0.15,1.26,0,3.04,2.37,3.41,0.44,0.44,0.07,0.52,2,0.44,2,0.67,4.15,0.59,1.85,0.89,8.38,2.59,1.19,0.22,458,Governing
30,2004_09_23_USS_Foreign_Sudan_Darfur.txt,3.83,0.18,0.91,2.92,0.36,16.42,0.18,1.46,0,1.46,2.37,2.37,1.28,0.36,0.55,0.55,2.37,0.73,3.65,1.28,3.65,0,2.74,1.09,8.03,1.64,2.92,1.28,458,Governing
31,2004_10_07_USS_Foreign_911_Comm.txt,6.49,0,0.54,1.08,1.08,14.05,0.54,0.54,0,5.95,1.62,2.16,0,0,0.54,0,2.16,0,2.7,0,4.86,1.08,4.32,0,10.27,3.24,2.7,0,458,Governing
32,2004_10_11_USS_Foreign_Security.txt,7.5,0.51,0.51,3.75,1.02,14.24,0.45,2.03,0,4.26,0.83,2.8,0.38,0.32,0,0.76,2.86,1.02,2.61,0.38,7.18,0.51,2.03,0.83,7.5,2.29,1.91,0.32,458,Governing
33,2004_12_04_USS_Foreign_Terrorism.txt,7.06,0.46,0.77,2.32,1.09,14.18,0.36,1.6,0,3.74,1.46,2.69,1.32,0.32,0,0.59,3.37,0.68,1.91,0.64,5.33,0.36,2.6,1.32,6.61,2.55,4.06,0.18,458,Governing
34,2004_12_08_USS_Foreign_Intelligence.txt,7.08,0.46,0.78,2.28,1.1,14.21,0.37,1.6,0,3.75,1.46,2.7,1.32,0.32,0,0.59,3.38,0.69,1.92,0.64,5.34,0.37,2.56,1.32,6.62,2.56,4.07,0.18,458,Governing
35,2005_01_26_USS_Foreign_Rice.txt,4.74,0.51,0.26,3.07,0.26,13.19,0.64,1.92,0,1.28,1.41,2.3,0.9,0.26,0,1.02,1.79,1.02,4.35,0.9,5.38,0.64,2.82,1.02,8.07,1.41,3.2,2.05,458,Governing
36,2005_02_13_USS_Foreign_UN.txt,6.32,0.69,0.83,2.89,1.08,14.05,0.2,1.71,0,2.25,1.37,2.84,0.54,0.2,0.44,0.64,2.55,1.27,2.45,0.98,2.45,0.29,1.86,0.83,7.3,1.32,2.6,0.88,458,Governing
37,2005_05_10_USS_Foreign_Iraq_Afghan.txt,5.15,0.49,0.78,4.74,1.43,11.86,0.53,1.1,0,1.19,2.25,4.34,0.82,0.29,0.7,0.25,2.74,0.94,2.7,1.19,3.8,0.65,2.58,1.39,8.1,1.64,2.45,0.33,458,Governing
38,2005_05_24_USS_Foreign_Israel.txt,3.21,0.41,1.08,3.51,0.6,14.22,0.63,1.49,0,1.38,2.09,3.66,0.78,0.37,1.27,0.75,3.25,0.6,3.51,0.97,2.09,1.31,2.8,1.31,7.35,1.31,2.72,0.75,458,Governing
39,2005_05_26_USS_Foreign_Dirty_Bombs.txt,12.58,0.82,1.65,4.74,0.72,13.2,0.21,1.55,0,2.37,1.24,2.47,1.34,0.31,0.1,0.31,2.58,1.24,0.82,0.41,3.81,0.72,1.03,0.21,6.6,1.03,1.96,0.41,458,Governing
40,2005_06_30_USS_Foreign_Nuclear.txt,7.65,0.99,1.13,3.82,1.27,11.76,0,0.99,0,8.92,1.42,2.12,0.71,0.85,0.14,0.57,3.68,2.69,0.71,1.13,3.12,0.42,0.85,0.85,5.24,2.12,2.27,0,458,Governing
41,2005_07_13_USS_Foreign_Plane_Safety.txt,5.41,0.15,2.01,7.66,1.01,12.68,0.39,3.02,0,1.78,1.55,2.4,0.93,0.62,0.31,0.31,2.4,1.31,2.32,1.31,2.55,0.46,2.24,0.7,5.18,2.01,2.24,1.08,458,Governing
42,2005_07_14_USS_Foreign_Chertoff.txt,2.87,1.44,0.62,7.39,1.03,11.91,0.21,2.87,0,3.7,1.44,2.87,0.21,0.62,0.82,0,2.87,0.21,4.72,2.67,3.08,0.41,1.85,1.03,6.37,1.64,2.87,0.62,458,Governing
43,2005_11_15_USS_Foreign_Defense_Budget.txt,8.22,0.36,0.45,2.53,0.78,13.94,0.45,1.04,0,2.05,1.95,2.4,0.84,0.62,0.13,0.29,3.31,1.2,3.83,0.75,4.74,0.26,2.24,0.94,6.99,1.43,3.35,0.42,458,Governing
44,2005_12_16_USS_Foreign_Patriot_Act.txt,5.96,0.47,1.11,3.85,1.27,12.61,0.42,2.59,0,1.79,1.16,3.01,0.74,0.47,0.11,0.26,3.64,1.16,1.9,1.32,4.96,0.53,2.16,1.37,7.44,2.16,4.59,0.84,458,Governing
45,2006_01_19_USS_Foreign_Middle East.txt,4.83,0.5,1.13,3.29,1.09,13.89,0.68,1.74,0,1.34,1.38,3.06,1.04,0.32,0.54,0.36,2.56,0.93,4.37,1.34,2.42,0.59,2.13,1.29,7.61,1.86,3.44,0.45,458,Governing
46,2006_03_14_USS_Foreign_Liberia.txt,4.28,0.21,0,3.64,0.43,14.35,1.71,0.64,0.21,3.64,0.43,3.85,1.07,0,0.43,0.21,3.21,0.86,3.85,0.43,4.71,0.21,2.14,0.43,10.71,0.86,3.43,0.43,458,Governing
47,2006_04_26_USS_Foreign_Border_Sec.txt,4.61,0.1,0.95,5.28,1.28,10.41,0.24,1.38,0,2.33,1.71,3.47,1.33,0.33,0.9,0.29,3.37,0.95,3.42,1.05,2.66,0.52,4.09,1.14,7.6,1.76,3.23,0.9,458,Governing
48,2006_05_18_USS_Foreign_Immigration.txt,9.92,0.66,0.41,4.51,1.31,13.44,0.74,1.23,0,2.54,1.8,1.15,0.66,0.08,0.57,0.98,2.62,0.41,1.56,0.49,5.33,0.9,4.18,0.9,7.87,2.38,1.89,0.9,458,Governing
49,2006_05_25_USS_Foreign_Darfur_Sudan.txt,4.23,0.35,1.06,3.43,0.7,16.29,0.18,2.73,0.09,2.2,0.79,3.08,0.35,0.09,0.09,0.35,2.64,0.35,4.14,0.88,3.61,0.18,2.64,1.23,10.12,0.97,1.85,1.06,458,Governing
50,2006_06_08_USS_Foreign_9-11 Security.txt,3.72,0.68,0.62,4.34,0.81,13.33,0.19,1.43,0,4.84,1.74,2.29,0.99,0.31,0.37,0.19,3.1,2.67,5.58,1.43,1.12,0.68,3.47,1.05,4.71,1.61,2.79,0.37,458,Governing
51,2006_06_21_USS_Foreign_Levin.txt,4.26,0.49,0.98,4.12,1.18,13.97,0.25,1.86,0.05,1.96,1.57,2.89,0.78,0.49,0.49,0.54,2.89,0.59,3.82,1.23,3.33,0.44,2.06,1.86,7.06,1.96,2.99,0.64,458,Governing
52,2006_07_11_USS_Foreign_National_Preparedness.txt,4.14,0.06,0.91,4.08,0.74,13.48,0.28,2.27,0,2.27,2.61,2.83,0.79,0.23,0.79,0.57,1.36,1.81,2.1,1.13,4.59,0.34,2.15,0.79,5.61,2.89,2.27,0.51,458,Governing
53,2006_07_12_USS_Foreign_Homeland_Sec.txt,5.25,0.29,1.31,4.74,1.03,11.82,0.4,2.51,0,2.74,3.14,2.23,0.74,0.23,1.54,0.4,1.88,1.71,2.17,1.2,3.66,0.34,2.68,1.03,6.85,2.11,2.74,0.51,458,Governing
54,2006_07_12_USS_Foreign_National_911.txt,5.29,0.28,1.31,4.78,1.02,11.77,0.4,2.5,0,2.73,3.13,2.22,0.74,0.23,1.54,0.4,1.88,1.71,2.16,1.19,3.64,0.34,2.67,1.02,6.83,2.1,2.73,0.51,458,Governing
55,2006_07_13_USS_Foreign_Air_Safety.txt,3.47,0,1.73,8.09,0.58,12.72,0.58,0,0,0,2.89,2.31,0.58,0.58,2.89,0,2.31,1.73,5.78,0.58,5.2,0,2.89,1.73,8.67,0.58,3.47,0,458,Governing
56,2006_09_06_USS_Foreign_Iraq.txt,4.52,0.44,0.35,3.46,1.86,11.79,0.44,1.77,0,2.22,1.6,2.48,0.71,0.35,0.71,0.35,3.1,1.33,2.84,1.51,4.96,0.27,2.3,2.3,5.85,1.77,2.22,1.24,458,Governing
57,2006_09_13_USS_Foreign_Homeland_Sec.txt,5.17,0.24,0.77,4.64,1.06,12.33,0.2,2.2,0,3.82,1.79,1.95,0.45,0.28,1.1,0.49,3.78,1.87,5.04,1.34,1.59,0.69,2.4,1.1,5.66,1.14,1.83,0.53,458,Governing
58,2006_09_20_USS_Foreign_Israel.txt,5.1,0.51,0.77,3.32,0.26,13.78,0,2.04,0,0.51,0.77,2.3,1.02,0,0,0,1.28,0.26,9.18,0.77,2.04,0,3.06,2.04,9.95,1.02,4.08,1.02,458,Governing
59,2006_09_28_USS_Foreign_Detainees.txt,4.45,0.26,0.43,3.94,0.86,12.84,0.51,2.91,0,1.88,0.68,2.65,0.34,0.6,0.34,0.26,2.31,1.2,4.11,1.03,2.91,0.34,3.68,1.88,6.85,1.71,3.08,1.28,458,Governing
60,2006_10_31_USS_Foreign_Council For Rel.txt,5,0.6,0.71,3.81,1.08,13.17,0.32,1.79,0,1.83,1.31,2.73,0.85,0.25,0.66,0.32,2.68,0.76,3.92,1.08,3.16,0.5,3.51,1.54,8.12,1.97,3.07,0.78,458,Governing
61,2006_11_16_USS_Foreign_India.txt,10.79,0.21,0.79,4.5,0.71,14.29,0.57,0.79,0,2.07,0.79,3,1.29,0.43,0.36,0.79,2.93,0.43,1.36,0.36,3.57,0.5,2.93,0.93,8.14,1.79,2.43,0.14,458,Governing
62,2007_01_10_USS_Foreign_Iraq_Bush.txt,5.07,0.36,0,5.07,1.09,13.77,0.36,1.81,0,1.45,1.45,2.9,1.81,0.36,0,0,2.17,0.36,5.43,0.72,5.8,0.36,2.54,1.45,8.7,2.54,2.17,1.45,458,Governing
63,2008_07_09_USS_Foreign_FISA.txt,4.7,0,1.36,2.12,0.91,14.24,0.15,2.73,0,1.06,2.12,2.73,0.76,0.76,0.15,0.45,3.79,1.06,0.91,1.52,7.12,0.3,2.58,2.27,7.73,3.18,3.94,0.45,458,Governing
64,2001_02_13_USS_Health_Access.txt,8.1,0.47,0.41,3.38,0.7,12.48,0.76,0.76,0,2.74,2.33,1.98,0.64,0.52,0.17,0.58,2.16,0.99,5.31,0.41,2.74,0.35,2.92,0.47,8.16,1.57,3.09,1.05,458,Governing
65,2001_03_06_USS_Health_Ergonomics.txt,5.19,0.41,0.92,5.14,1.08,12.38,0.31,1.64,0,1.8,1.13,2.47,0.77,0.41,0.36,0.56,3.54,1.18,4.78,0.98,3.08,0.51,1.75,1.49,8.12,1.69,2.98,0.82,458,Governing
66,2001_04_05_USS_Health_Reform.txt,5.1,0.64,0.64,1.91,0,12.74,0.64,0,0,1.91,6.37,1.91,0.64,0,0,0,1.27,1.27,1.91,2.55,3.82,0.64,3.82,0.64,5.1,2.55,5.73,0,458,Governing
67,2001_04_06_USS_Health_Arsenic_Water.txt,7.67,0.99,1.24,6.19,1.24,12.87,0.25,0.99,0,1.98,0.74,2.97,0.74,0,0.25,0,3.71,0.74,1.24,0.99,6.19,0.74,2.23,0,5.69,1.24,6.44,0,458,Governing
68,2001_04_06_USS_Health_Hospitals.txt,9.67,0.35,0.53,4.04,0.7,12.13,0.35,0.88,0,1.05,2.28,2.64,0.35,0.18,0.18,0.7,2.81,0.35,2.46,0,3.69,1.05,2.64,0.18,5.1,1.76,4.75,0.53,458,Governing
69,2001_04_25_USS_Health_Pollution.txt,8.39,0.26,1.12,5.62,0.4,13.42,0.79,0.86,0,2.05,2.31,2.12,1.19,0.26,0.07,0.26,2.31,0.86,2.71,0.93,3.44,0.46,3.77,0.4,7.4,0.99,3.11,0.46,458,Governing
70,2001_10_23_USS_Health_Latin_Am.txt,12.22,0.74,0.37,2.22,0,14.81,0.74,1.48,0,2.22,1.85,1.48,0.37,0.37,0.74,0.74,2.22,1.48,4.07,1.48,1.85,1.11,2.96,0.74,6.67,0.74,4.07,1.11,458,Governing
71,2002_06_05_USS_Health_Veterans.txt,11.39,0.65,0.26,2.49,1.05,13.48,0.52,1.44,0,3.01,1.05,1.7,0.26,0.39,0.13,0.79,3.14,0.92,5.1,0.65,2.09,0.79,2.09,0.39,6.54,1.31,3.8,0.65,458,Governing
72,2003_06_25_USS_Health_Drugs.txt,7.6,0.8,1.2,4.4,2.4,17.2,0,0.8,0,2,0.8,4,0.8,0.4,0.8,0,2.4,0.8,3.6,0.4,3.6,0.4,2,0,6.8,1.2,2,0.4,458,Governing
73,2003_06_25_USS_Health_Medicare.txt,6.83,0.49,2.44,4.88,0.49,9.51,0.24,1.95,0,1.46,1.95,1.95,1.22,0,0.24,0.73,4.63,0,3.9,2.44,0.98,0.49,3.41,1.71,6.1,2.44,1.95,0.98,458,Governing
74,2003_06_25_USS_Health_Prescription_Drugs.txt,7.6,0.8,1.2,4.4,2.4,17.2,0,0.8,0,2,0.8,4,0.8,0.4,0.8,0,2.4,0.8,3.6,0.4,3.6,0.4,2,0,6.8,1.2,2,0.4,458,Governing
75,2003_06_26_USS_Health_Immigrants.txt,7.18,1.31,2.22,3.26,0.91,13.32,0,0.65,0,2.61,1.17,1.04,0.39,0,0.26,0.26,3.52,0.91,5.87,0.78,6.79,0.26,0.91,1.31,7.05,0.52,4.18,0.65,458,Governing
