,X,Academic_Language..Low.Frequency.,Citation,Contingency,Descriptive,Directive,Elaborative_Syntax,Emotion_Positive,Emotion_Negative,Emotion_Surprise,Expository_Devices,FirstPerson,Forceful,Future,Inquiry,Interactive,Metadiscourse,Narrative,Past,Persons,Privy,Public,Reasoning,Relations_Positive,Relations_Negative,Reporting,Strategic,Values_Positive,Values_Negative,Name,
1,2015_01_15_PC_Liberia.txt,6.67,0.2,0.2,3.84,0.81,14.55,1.62,0.4,0,1.01,2.02,2.22,1.41,0,2.63,0.81,3.23,0.81,2.63,1.21,3.23,1.01,2.22,0.2,8.48,1.41,6.06,0.4,16vsSanders,Clinton
2,2015_02_24_PC_Women_Silicon_Valley.txt,6.13,0.42,1.09,5.43,1.07,11.28,0.91,0.86,0.06,1.87,2.36,3.26,0.91,0.4,3.89,0.72,2.65,0.82,4.29,1.47,1.2,1.33,2.7,0.55,7.24,1.5,2.63,0.11,16vsSanders,Clinton
3,2015_03_10_PC_Women_Iran.txt,6.3,0.97,0.48,3.03,0.61,10.67,0.97,0.48,0,2.91,4.24,2.3,0.61,0,2.79,0.48,3.88,2.06,2.18,1.45,3.39,0.73,2.42,1.58,6.55,1.82,2.91,0,16vsSanders,Clinton
4,2015_04_14_PC_Kirkwood_Comm_Coll.txt,4.21,0.08,0.77,3.98,0.69,10.87,0.46,0.77,0,2.6,3.98,2.99,1.53,0.54,3.37,1.07,2.37,0.84,4.82,2.07,1.15,2.22,1.91,1.07,6.81,1.38,2.68,0.38,16vsSanders,Clinton
5,2015_04_20_PC_Keene_NH.txt,5.16,0.2,0.95,4.21,0.61,10.73,0.54,0.2,0.07,1.7,4.14,3.87,1.02,0.2,4.48,0.54,2.85,1.56,4.14,0.75,0.61,1.97,1.36,1.36,7.07,1.63,0.54,0.41,16vsSanders,Clinton
6,2015_04_23_PC_World_Sum_Women.txt,4.29,0.44,1.18,4.12,1.33,9.24,0.71,1.04,0.06,1.95,2.61,3.91,0.59,0.3,4.56,0.5,2.81,0.8,6.72,1.1,1.3,1.01,2.28,1.01,7.02,1.18,2.04,0.44,16vsSanders,Clinton
7,2015_04_29_PC_Criminal_Justice.txt,5.26,0.36,0.59,4.43,0.64,11.74,0.95,2.08,0.03,2.41,1.54,3.56,0.54,0.54,4.05,0.23,2.97,0.62,4.74,1.28,2.26,1.03,3.61,1.03,6.51,1.31,2.74,1.33,16vsSanders,Clinton
8,2015_05_05__PC_Immigration_Nevada.txt,5.22,0.15,0.76,5.12,0.41,10.69,0.71,0.51,0,1.32,3.6,3.65,1.17,0.3,4.1,0.41,3.04,1.01,4.81,1.42,1.11,2.03,2.58,1.17,6.53,0.96,2.28,0.1,16vsSanders,Clinton
9,2015_05_18_PC_Families_Iowa.txt,3.66,0.83,0.85,3.35,0.77,9.59,0.48,0.79,0,1.64,4.22,3.11,1.17,0.48,3.98,0.46,2.38,0.81,4.87,1.29,1.27,1.74,3.19,0.69,7.01,1.21,1.86,0.42,16vsSanders,Clinton
10,2015_05_19_PC_Cedar_Falls_IA.txt,7.75,0.08,0.85,7.75,0.78,11.86,1.09,0.62,0.08,1.47,2.25,3.49,0.85,0.62,3.57,0.54,2.87,0.23,3.1,0.47,1.78,1.16,2.79,1.16,7.36,1.71,2.48,0.23,16vsSanders,Clinton
11,2015_05_20_PC_Childcare_Chicago.txt,6.13,0.15,1.14,4.35,0.89,10.28,0.44,0.69,0.05,2.47,2.92,3.81,1.09,0.49,4.2,0.44,2.62,0.49,4.7,0.99,1.19,2.08,3.16,0.79,7.17,1.48,2.42,0.4,16vsSanders,Clinton
12,2015_05_27_PC_Dem_Women_Council_SC.txt,4.55,0.77,0.77,5.51,0.82,9.24,0.47,0.51,0.02,1.35,3.94,3.06,1.28,0.3,3.92,0.58,3.17,1.17,4.83,1.47,1.7,1.63,2.03,0.93,7.19,1.17,1.75,0.3,16vsSanders,Clinton
13,2015_06_04_PC_Voting_Rights.txt,3.98,0.69,0.72,4.44,1,11.13,0.46,1.08,0.08,1.98,1.87,3.64,0.72,0.28,4.05,0.38,2.9,1.46,5.64,1.18,3.23,1.23,1.74,1.39,8.06,1.31,2.59,0.46,16vsSanders,Clinton
14,2015_06_13_PC_Launch.txt,5.63,0.39,1.08,4.66,1.03,10.86,0.9,1.29,0,1.85,2.5,2.8,1.06,0.35,5.86,0.47,2.39,0.58,4.74,0.86,2.09,1.04,2.76,1.36,7.05,1.49,3.36,0.34,16vsSanders,Clinton
15,2015_06_15_PC_Childhood_Ed.txt,5.06,0.46,1.08,3.24,0.68,9.31,0.74,0.43,0.06,1.7,2.99,3.7,1.11,0.46,4.41,0.55,2.81,1.29,5.43,1.57,1.57,1.63,2.9,0.52,6.35,1.26,2.37,0.12,16vsSanders,Clinton
16,2015_06_18_PC_Veterans.txt,5.33,0.45,0.89,4.35,1.1,10.45,0.41,1.06,0,1.79,3.29,3.54,1.18,0.45,4.8,0.61,2.36,0.73,4.84,0.81,1.02,1.71,3.5,1.02,6.79,1.06,2.48,0.57,16vsSanders,Clinton
17,2015_06_20_PC_Conf_Mayors.txt,4.64,0.65,0.76,5.56,0.68,12.63,0.76,1.33,0,1.46,2.47,2.55,0.6,0.3,4.61,0.57,2.66,1.08,4.61,1.17,1.84,0.7,3.31,0.95,7.62,1.46,2.49,0.73,16vsSanders,Clinton
18,2015_06_25_PC_Conf_Flag_Racism.txt,4.7,0.43,0.78,4.43,1.13,10.49,0.7,1.2,0.08,2.29,2.68,3.03,1.09,0.31,3.96,0.58,2.56,0.97,5.48,1.28,1.79,1.09,2.87,0.82,6.91,1.44,2.41,0.43,16vsSanders,Clinton
19,2015_06_26_PC_Jeff_Jack_Dinner.txt,4.18,0.33,1.06,4.61,1.16,10.69,0.93,1,0,2.19,1.79,3.19,0.86,0.23,5.08,0.6,2.56,0.66,4.95,1.16,2.52,1.36,3.95,1.29,6.57,1.16,2.76,0.66,16vsSanders,Clinton
20,2015_07_13_PC_Economic_Policy.txt,7.52,0.3,0.72,4.76,1.07,11.54,0.8,1.45,0,2.17,1.91,3.23,1.5,0.17,4.32,0.4,2.75,0.47,4.02,1.03,2.13,0.98,2.68,1.14,7.87,1.64,3.09,0.38,16vsSanders,Clinton
21,2015_07_16_PC_Economy_lst_Townhall.txt,6,0.27,0.64,4.14,0.95,11.23,0.77,0.59,0,1.82,3.09,3.45,1.27,0.27,5.05,0.18,2.55,0.5,4.23,1.41,2.18,1.82,2.55,0.73,7.41,1.91,1.82,0.14,16vsSanders,Clinton
22,2015_07_24_PC_Long_Term_Growth.txt,8.63,2.37,0.72,4.15,0.83,11.97,0.89,1.19,0.02,2.13,1.23,2.9,1.45,0.38,2.54,0.56,3.54,0.8,3.02,1.05,2.54,0.62,1.95,1.05,7.47,1.97,2.72,0.3,16vsSanders,Clinton
23,2015_07_31_PC_National_Urban_League.txt,3.09,0.1,0.77,3.96,1.35,9.07,0.58,0.87,0.1,1.35,2.7,3.38,1.35,0.48,7.92,0.77,2.9,0.29,5.02,1.06,1.74,1.06,2.51,1.35,6.85,1.16,3.67,0.19,16vsSanders,Clinton
24,2015_08_11_PC_College_Costs_NH.txt,7.28,0.34,0.72,3.88,0.89,11.03,0.85,0.64,0,2.04,3.62,3.32,1.53,0.43,4.81,0.34,1.53,0.64,3.83,0.94,1.41,1.32,1.83,0.72,6.35,2,2.51,0.3,16vsSanders,Clinton
25,2015_08_18_PC_Race_Saving_Cities.txt,3.61,0.26,0.7,4.75,1.18,9.6,0.7,1.1,0.04,1.73,2.98,3.31,0.7,0.4,4.89,0.59,2.61,0.59,5.74,1.29,1.4,1.29,2.32,1.18,7.21,1.32,2.43,0.44,16vsSanders,Clinton
26,2015_08_28_PC_DNC.txt,4.5,0.28,1.08,3.58,1.48,10.61,0.52,1.33,0,1.73,2.31,3.42,0.93,0.28,6.23,0.43,2.47,0.34,5.52,1.3,1.54,1.51,2.56,1.57,7.07,0.83,2.62,0.46,16vsSanders,Clinton
27,2015_09_01_PC_DNC.txt,4.94,0.26,1.15,3.66,1.47,11.29,0.61,1.35,0,1.76,2.34,3.17,0.99,0.19,5.51,0.51,2.66,0.38,5.77,1.38,1.57,1.19,3.33,1.54,7.57,0.9,2.56,0.48,16vsSanders,Clinton
28,2015_09_09_PC_Iran_Nuclear.txt,5.06,0.35,1.02,4.37,0.97,12.26,0.46,1.52,0,1.68,2.54,3.2,1.59,0.24,3.8,0.33,2.72,0.73,3.18,1.46,1.46,0.97,3.16,1.74,7.88,2.08,2.83,0.57,16vsSanders,Clinton
29,2015_09_10_PC_Women_Org_OH.txt,4.05,0.48,1.13,3.06,1.54,8.57,0.3,0.92,0,2.17,3.57,3.06,1.43,0.16,6.08,0.53,2.4,1.04,4.03,1.36,1.5,1.8,2.05,1.01,7.49,1.87,1.61,0.32,16vsSanders,Clinton
30,2015_09_16_PC_Women_Hillary.txt,4.91,0.32,1.2,3.71,1.29,10.02,0.55,1.15,0,1.66,2.42,2.67,0.74,0.21,5.14,0.76,2.88,0.69,7.03,1.34,1.45,1.08,2,1.68,7.65,1.13,2.03,0.53,16vsSanders,Clinton
31,2015_09_19_PC_NH_DNC.txt,5.8,0.19,1.09,3.66,1.21,10.28,0.46,1.21,0.04,2.05,3.08,2.95,1.11,0.19,6.32,0.42,2.41,0.69,5.72,1.01,1.49,0.69,2.28,1.24,6.87,1.76,2.37,0.71,16vsSanders,Clinton
32,2015_09_26_PC_Human_Rights_Campaign.txt,4.34,0.41,0.82,4.12,0.85,10.56,0.79,1.12,0.11,1.8,3.16,3.36,1.06,0.3,5.51,0.63,2.1,0.68,5.67,1.53,1.96,1.42,1.72,1.15,6.66,0.85,2.59,0.41,16vsSanders,Clinton
33,2015_10_13_PC_Closing_State_CNN_Debate.txt,3.14,1.74,0.7,3.14,2.09,9.76,1.05,0.7,0,2.44,2.09,2.79,2.09,0.35,3.83,1.05,2.09,0.7,4.53,0.7,1.05,0,2.79,0.7,6.62,2.44,2.79,0.7,16vsSanders,Clinton
34,2015_10_13_PC_Open_State_CNN_Debate.txt,4.68,0,1.02,2.65,0.81,10.59,1.02,0.61,0,2.04,3.46,2.24,1.43,0.41,2.65,1.02,2.44,0.2,5.91,1.22,1.02,1.43,2.85,0.61,6.72,2.24,2.04,0.2,16vsSanders,Clinton
35,2015_10_16_PC_Keene_NH_Townhall.txt,3.52,0.14,0.97,5.87,1.31,10.22,0.35,1.45,0,1.8,2.97,3.11,0.83,0.35,3.8,0.62,2.42,1.17,5.52,1.24,1.8,2.14,1.1,1.38,6.91,1.93,0.97,0.76,16vsSanders,Clinton
36,2015_10_22_PC_Benghazi_Hearing.txt,4.58,0.39,0.78,5.07,0.97,11.84,0.1,1.7,0,3.17,1.95,3.02,0.68,0.44,3.9,0.1,1.9,1.7,6.53,0.88,2.63,0.68,2.39,1.7,7.6,1.27,3.26,0.39,16vsSanders,Clinton
37,2015_10_31_PC_Longshoremen_SC.txt,5.43,0.37,0.81,4.12,0.7,10.97,0.37,0.92,0,1.79,3.14,3.58,1.05,0.41,4.62,0.55,2.27,1.02,5.25,1,1.57,1.87,2.29,0.89,6.43,1.79,1.96,0.48,16vsSanders,Clinton
38,2015_11_09_PC_Am_Fed_Teachers.txt,4.42,0.26,1.04,2.34,1.04,12.47,1.04,0.78,0,1.3,4.42,4.16,1.04,0.26,6.23,0,0.78,1.04,3.9,0.52,0.78,0.78,4.68,1.04,7.01,1.3,2.08,0.78,16vsSanders,Clinton
39,2015_11_14_PC_Closing_State_Iowa_Debate.txt,2.62,0.52,2.62,1.57,0.52,10.99,0,0.52,0,2.62,4.71,4.71,1.57,0,6.28,0,3.66,0,4.71,2.09,2.09,1.57,2.09,0.52,5.76,1.57,0.52,0,16vsSanders,Clinton
40,2015_11_14_PC_Open_State_Iowa_Debate.txt,3.65,0,0.73,3.65,0.73,9.49,0,2.19,0,0.73,2.19,4.38,2.19,0,3.65,0.73,1.46,0,2.92,1.46,2.92,1.46,7.3,2.92,7.3,2.19,1.46,1.46,16vsSanders,Clinton
41,2015_11_19_PC_CFR.txt,5.42,0.15,0.92,4.98,0.73,12.92,0.42,2.47,0,1.78,0.94,3.75,0.75,0.29,3.56,0.5,2.18,0.5,4.21,0.9,1.95,0.84,3.02,2.18,8.19,1.88,2.87,0.77,16vsSanders,Clinton
42,2015_11_22_PC_TownHall_Clinton_IA.txt,5.46,0.99,0.65,3.96,0.6,11.27,0.6,0.73,0.09,1.55,3.27,3.01,1.03,0.3,3.53,0.52,2.32,0.99,5.51,1.08,1.68,1.68,2.28,0.34,7.62,1.12,1.85,0.34,16vsSanders,Clinton
43,2015_11_29_PC_Jeff_Jack_Dinner.txt,5.38,0.32,0.75,4.11,1.17,10.58,0.81,1.31,0.04,1.97,2.48,2.88,0.99,0.22,5.02,0.52,2.1,0.64,4.45,0.95,1.65,0.85,3.18,0.97,7.37,1.51,2.18,0.52,16vsSanders,Clinton
44,2015_12_01_PC_Mont_Bus_60.txt,3.15,0.48,0.66,4.86,0.66,10.21,0.69,1.23,0.03,2.04,2.28,3.72,0.72,0.33,3.63,0.54,2.94,1.5,5.83,1.47,2.22,1.2,2.61,0.93,6.88,1.08,2.52,0.78,16vsSanders,Clinton
45,2015_12_04_PC_Carpenter_Traininig.txt,5.24,2.35,0.61,4.74,0.93,9.42,0.45,1.63,0.07,1.6,3,3.12,0.99,0.25,4.04,0.72,2.33,1.11,5.24,0.79,1.33,1.04,2.3,0.68,7.2,1.54,1.69,0.29,16vsSanders,Clinton
46,2015_12_04_PC_Econ_Women_NH.txt,6.28,0.31,1.17,4.14,1.06,10.31,0.71,0.91,0,2.14,2.6,3.88,1.06,0.23,4.54,0.43,2.11,0.6,5.37,1.09,1.17,1.46,2.14,1.26,7.85,1.48,2.06,0.4,16vsSanders,Clinton
