,Academic_Language [Low Frequency],Citation,Contingency,Descriptive,Directive,Elaborative_Syntax,Emotion_Positive,Emotion_Negative,Emotion_Surprise,Expository_Devices,FirstPerson,Forceful,Future,Inquiry,Interactive,Metadiscourse,Narrative,Past,Persons,Privy,Public,Reasoning,Relations_Positive,Relations_Negative,Reporting,Strategic,Values_Positive,Values_Negative, Group
Gillibrand_03_24_19_Brave_Wins_NYC.txt,4.14,0.37,0.67,4.84,1.83,10.59,0.61,1.92,0.0,1.49,2.46,3.04,1.37,0.21,5.51,0.58,2.37,0.4,3.13,0.82,2.28,1.16,3.74,2.1,6.72,1.55,4.35,1.0,2020_Women_Speeches
Gillibrand_04_02_19_Equal_Pay_Day_Sen.txt,5.59,0.55,0.95,4.09,0.41,7.37,0.14,1.5,0.0,0.82,0.68,6.0,0.55,0.55,4.09,0.14,4.77,0.68,3.55,0.82,2.18,0.27,2.59,1.64,9.69,1.09,3.14,0.95,2020_Women_Speeches
Gillibrand_06_09_19_Dem_Hall_Fame_IA.txt,3.21,0.26,1.15,4.36,1.28,10.0,0.38,0.77,0.0,2.31,3.46,2.82,0.77,0.26,7.69,0.0,1.92,0.38,6.03,0.51,2.82,1.41,2.44,1.28,7.56,0.51,4.36,0.64,2020_Women_Speeches
Gillibrand_06_27_19_MSNBC_Miami_Closing.txt,3.13,0.52,0.0,4.17,4.69,11.46,0.0,1.04,0.0,0.52,3.13,1.04,2.08,0.52,4.17,0.52,1.56,0.0,2.08,1.04,4.17,0.52,0.52,4.69,11.46,1.04,1.56,0.52,2020_Women_Speeches
Gillibrand_07_17_19_First_Responder_Bill_Sen.txt,7.18,0.32,0.71,5.28,0.95,10.73,0.39,2.05,0.0,3.79,1.26,2.92,0.71,0.16,4.34,0.71,4.81,1.18,3.71,1.5,1.5,0.55,1.74,1.34,5.28,1.18,1.89,0.39,2020_Women_Speeches
Gillibrand_07_23_19_911_Responders_Sen.txt,4.07,0.22,0.55,5.94,0.88,9.35,0.11,1.32,0.0,3.52,1.76,2.53,1.1,0.0,4.73,0.33,4.95,0.55,7.7,1.21,2.2,0.33,3.08,0.66,6.27,1.65,2.31,0.33,2020_Women_Speeches
Gillibrand_07_31_19_NBC_Debate_Closing.txt,2.24,0.0,1.12,4.48,2.99,10.82,0.0,1.49,0.0,1.49,5.97,2.61,1.12,0.0,7.46,0.75,1.49,0.37,4.85,0.37,1.87,2.61,2.24,1.87,8.21,1.49,2.24,0.37,2020_Women_Speeches
Harris_01_16_19_Govt_Shutdown_Sen.txt,5.85,0.49,0.37,5.37,1.1,13.78,0.24,2.32,0.0,2.2,1.22,3.17,0.37,0.0,5.12,0.49,3.54,0.85,5.85,0.61,3.29,0.37,2.8,0.85,9.39,0.37,1.1,0.12,2020_Women_Speeches
Harris_01_21_19_Atlantic_Democratic_Debate_Closing.txt,4.47,0.0,1.37,2.41,0.0,9.62,0.34,0.0,0.0,2.75,4.81,2.75,0.69,0.34,4.81,0.34,2.75,0.69,8.25,0.34,1.37,0.69,3.09,2.41,6.53,1.72,4.12,0.69,2020_Women_Speeches
Harris_01_27_19_Announcement_Oakland.txt,4.57,0.67,0.6,4.85,1.14,9.67,0.29,1.49,0.03,1.01,2.57,2.32,0.98,0.22,5.99,0.38,1.93,0.92,5.01,1.49,2.06,1.71,3.65,1.84,8.15,0.86,3.11,0.82,2020_Women_Speeches
Harris_02_05_19_Pre_State_of_Union_DC.txt,4.71,0.84,0.84,5.13,0.84,13.72,0.73,1.36,0.0,1.26,0.63,3.56,1.47,0.1,3.87,0.31,1.57,0.73,5.97,1.05,1.78,1.26,5.65,1.36,6.81,1.47,3.25,0.84,2020_Women_Speeches
Harris_02_14_19_Anti_Lynching_Bill_Sen.txt,5.29,0.85,0.48,2.56,0.85,13.24,0.16,4.27,0.0,2.51,1.39,2.24,0.75,0.0,4.48,0.32,4.22,2.03,4.54,0.75,3.04,0.48,1.55,0.59,6.19,0.43,1.87,2.19,2020_Women_Speeches
Harris_05_-5_19_NAACP_Detroit.txt,5.21,0.47,0.58,4.89,0.87,10.44,0.29,1.54,0.06,2.12,2.18,2.47,1.02,0.32,4.89,0.29,2.97,0.64,6.11,1.05,2.24,1.66,2.56,0.9,8.46,1.22,2.56,0.73,2020_Women_Speeches
Harris_06_10_19_Dem_Hall_Fame_IA.txt,4.69,0.74,0.25,5.06,0.74,10.36,0.37,1.11,0.0,1.23,3.33,2.1,0.37,0.12,5.43,0.25,2.84,1.36,7.52,1.23,2.1,1.97,2.34,1.6,6.91,1.23,0.49,0.37,2020_Women_Speeches
Harris_06_22_19_Otay_Mesa_Detention_Center_San_Diego.txt,4.78,0.16,0.56,4.15,1.28,11.16,0.48,1.12,0.0,1.28,1.99,2.95,0.88,0.4,4.94,0.48,4.39,0.48,4.39,0.88,1.75,1.2,3.19,0.96,8.05,1.12,1.44,1.04,2020_Women_Speeches
Harris_06_27_19_MSNBC_Debate_Closing.txt,3.06,0.0,0.0,1.53,0.51,9.69,1.02,1.02,0.0,2.55,4.08,4.59,1.02,0.0,5.61,0.0,3.57,0.0,2.55,1.02,0.51,1.02,1.53,0.51,3.57,0.51,3.06,0.0,2020_Women_Speeches
Harris_07_31_19_Debate_Closing_MI.txt,8.29,0.0,0.0,4.66,0.52,10.88,0.0,3.63,0.0,1.55,3.63,1.55,2.07,0.0,4.15,0.0,1.55,0.0,9.33,1.55,0.52,2.07,1.04,4.66,6.74,0.0,1.04,1.04,2020_Women_Speeches
Harris_07_31_19_Debate_Opening_MI.txt,2.94,1.26,0.0,2.52,0.42,7.56,0.84,0.42,0.0,0.84,3.78,2.1,0.84,1.26,4.62,0.0,4.62,1.26,4.2,0.42,1.26,1.26,3.36,2.94,4.2,0.84,2.52,0.0,2020_Women_Speeches
Harris_09_12_19_Closing_Dem_Debate_TX.txt,3.48,0.32,2.22,1.9,2.85,10.13,0.32,0.32,0.0,1.27,4.75,2.85,1.58,0.0,6.96,0.0,2.22,0.63,5.7,0.32,0.95,1.58,0.95,0.32,8.86,1.9,0.95,0.0,2020_Women_Speeches
Harris_09_12_19_Opening_Dem_Debate_TX.txt,2.73,0.39,0.0,3.52,1.17,8.59,0.78,1.56,0.0,1.95,1.56,1.56,0.39,0.39,5.86,0.78,1.56,0.78,1.56,0.39,3.13,1.95,5.08,1.56,8.2,0.78,1.17,1.95,2020_Women_Speeches
